NO,Season,NumGame,Team,Result,Rank,1Q,2Q,3Q,4Q,TotScore,2ptS,2ptA,2ptRatio,3ptS,3ptA,3ptRatio,FTS,FTA,FTRatio,RB,AS,ST,BL,FO,FB,TO,PPS,GD,FBP,POT,SCP,BP,MCP,MLM,TL,OFFRTG,DEFRTG,NETRTG,EFGRatio,TSRatio,ASTRatio,ASTTO,ASTRat,OREBRatio,DREBRatio,REBRatio,PACE,TOVRatio,POSS
1,1718,1,Anyang,lose,5,19,19,15,17,70,19,39,48.7,8,23,34.8,8,13,61.5,28,12,6,1,21,1,14,16,4,2,14,7,26,11,2,90,90.1,104.6,-14.6,50,51.7,44.4,0.9,12.8,12.9,72.7,43.8,76.4,17.1,76.4
2,1718,1,Samsung,win,7,24,14,24,20,82,18,38,47.4,11,26,42.3,13,19,68.4,36,20,7,2,19,6,15,17,1,16,12,7,22,7,19,2191,104.6,90.1,14.6,53.9,56.7,69,1.3,18.6,27.3,87.1,56.3,76.4,17.2,76.4
3,1718,2,Goyang,lose,8,10,24,26,14,74,18,33,54.5,11,28,39.3,5,12,41.7,37,16,3,7,27,4,14,14,1,7,9,9,27,8,3,326,101,109.8,-8.8,56.6,55.8,55.2,1.1,16.6,24.1,75,53.6,72.1,17.4,72.1
4,1718,2,Changwon,win,9,20,16,23,22,81,21,44,47.7,7,21,33.3,18,29,62.1,32,20,9,1,17,7,6,16,0,17,16,13,29,8,10,1959,109.8,101,8.8,48.5,52.1,71.4,3.3,19.3,25,75.9,46.4,72.1,7.2,72.1
5,1718,3,Ulsan,win,4,23,20,22,16,81,22,47,46.8,8,19,42.1,13,19,68.4,31,17,5,2,11,1,6,19,1,2,9,16,35,8,10,1656,111.9,103.2,8.8,51.5,54.5,56.7,2.8,17.5,21.6,69.7,44.3,69.9,7.5,69.9
6,1718,3,Suwon,lose,10,19,18,26,10,73,29,56,51.8,4,14,28.6,3,4,75,39,13,4,2,21,2,9,24,0,4,6,17,26,6,7,488,103.2,111.9,-8.8,50,50.9,39.4,1.4,13.9,30.3,78.4,55.7,69.9,11.1,69.9
7,1718,4,Daegu,lose,6,27,14,19,21,81,26,61,42.6,6,21,28.6,11,14,78.6,30,14,7,0,17,3,3,19,1,6,16,14,33,5,1,29,98.6,121.4,-22.8,42.7,45.9,43.8,4.7,13.3,20,67.7,39.5,79,3.3,79
8,1718,4,Anyang,win,5,29,22,22,24,97,33,48,68.8,6,23,26.1,13,18,72.2,46,19,2,6,18,3,11,28,0,6,4,12,21,7,21,2227,121.4,98.6,22.8,59.2,61.5,48.7,1.7,17.4,32.3,80,60.5,79,12.2,79
9,1718,5,Wonju,win,1,17,22,22,20,81,19,49,38.8,11,29,37.9,10,12,83.3,45,13,7,3,22,3,10,15,0,7,13,12,20,10,14,1685,103.5,94.9,8.6,45.5,48.6,43.3,1.3,12.2,35.7,76.9,55.6,76.3,10.7,76.3
10,1718,5,Busan,lose,3,18,18,12,28,76,22,52,42.3,6,17,35.3,14,23,60.9,36,13,5,3,16,8,10,20,1,17,8,11,11,9,10,702,94.9,103.5,-8.6,44.9,48,46.4,1.3,12.7,23.1,64.3,44.4,76.3,11.2,76.3
